i,average roughness,group,perturbation
0,0.2041903027578428,0,0.0
1,0.1710658568374135,1,0.0
2,0.2164278124126579,2,0.0
3,0.16247676798794666,3,0.0
4,0.20280216161601008,4,0.0
5,0.17831242099700673,5,0.0
6,0.1952019514570401,6,0.0
7,0.16838437087190544,7,0.0
8,0.16004993113568555,8,0.0
9,0.1564537516341642,9,0.0
10,0.15590513548728263,10,0.0
11,0.18837434686892138,11,0.0
12,0.214108418789342,12,0.0
13,0.19833275486124566,13,0.0
14,0.22205539326540644,14,0.0
15,0.1658860068320446,15,0.0
16,0.15187661165332406,16,0.0
17,0.21066055813834214,17,0.0
18,0.2020767122259993,18,0.0
19,0.25122712219794574,19,0.0
20,0.17575345404517095,20,0.0
21,0.19769065305254666,21,0.0
22,0.24177383488792284,22,0.0
23,0.250612671774863,23,0.0
24,0.17014228937514994,24,0.0
25,0.16241807115557533,25,0.0
26,0.19751091217439987,26,0.0
27,0.1915470472034502,total,0.0
