i,average roughness,group,perturbation
0,0.25907661402401316,0,1.3
1,0.2555522834901751,1,1.3
2,0.29258164178708873,2,1.3
3,0.24510744301089796,3,1.3
4,0.2800295189367076,4,1.3
5,0.25805441472007457,5,1.3
6,0.2870205097064234,6,1.3
7,0.26414201947100774,7,1.3
8,0.252050572515771,8,1.3
9,0.24928419264028898,9,1.3
10,0.24392835043064717,10,1.3
11,0.276337930988139,11,1.3
12,0.30095978948957,12,1.3
13,0.2819314042993329,13,1.3
14,0.3099221166067752,14,1.3
15,0.258993712798088,15,1.3
16,0.25382207852125926,16,1.3
17,0.31024674910255856,17,1.3
18,0.30314911799504496,18,1.3
19,0.3412894422615879,19,1.3
20,0.2763400110674935,20,1.3
21,0.30765992080959104,21,1.3
22,0.36009551869091116,22,1.3
23,0.3574772401825152,23,1.3
24,0.30217319555152117,24,1.3
25,0.30691283940393327,25,1.3
26,0.3367924479242,26,1.3
27,0.2878122620898377,total,1.3
