i,average roughness,group,perturbation
0,0.26788686182753074,0,1.4
1,0.2617861764836006,1,1.4
2,0.30343031829993306,2,1.4
3,0.2542264588774612,3,1.4
4,0.2886554751402444,4,1.4
5,0.2702352434306288,5,1.4
6,0.29689294523334664,6,1.4
7,0.27260353721324737,7,1.4
8,0.26336768250227927,8,1.4
9,0.25515034285196714,9,1.4
10,0.26094037194966974,10,1.4
11,0.2849722494521606,11,1.4
12,0.3149370975748358,12,1.4
13,0.2872854017921936,13,1.4
14,0.31006011641925235,14,1.4
15,0.27722223706387783,15,1.4
16,0.27217011669344754,16,1.4
17,0.3154816172973432,17,1.4
18,0.3162538089799319,18,1.4
19,0.354475593312663,19,1.4
20,0.2913427061917034,20,1.4
21,0.3256727285469616,21,1.4
22,0.36570317581864625,22,1.4
23,0.36016396061804223,23,1.4
24,0.32248972585215013,24,1.4
25,0.3133669261729259,25,1.4
26,0.35262411270197497,26,1.4
27,0.29849618475177847,total,1.4
