i,average roughness,group,iterations,perturbation
0,0.25108268270849227,0,,3.0
1,0.23830314502718936,1,,3.0
2,0.27547027111335864,2,,3.0
3,0.23088097825505471,3,,3.0
4,0.26262463241187095,4,,3.0
5,0.24919818567169444,5,,3.0
6,0.26352579871308957,6,,3.0
7,0.24009433660523632,7,,3.0
8,0.23359816162565145,8,,3.0
9,0.23146807785262766,9,,3.0
10,0.23052530468675914,10,,3.0
11,0.258511964041079,11,,3.0
12,0.278525738283621,12,,3.0
13,0.26479284660543795,13,,3.0
14,0.28701300584575024,14,,3.0
15,0.24227235578203282,15,,3.0
16,0.2293186787571538,16,,3.0
17,0.2800357754438633,17,,3.0
18,0.27939256840879995,18,,3.0
19,0.31937772962835914,19,,3.0
20,0.2505625768856487,20,,3.0
21,0.2754607404464007,21,,3.0
22,0.31481971803742687,22,,3.0
23,0.3194304579690073,23,,3.0
24,0.26122714529469493,24,,3.0
25,0.26209579763022,25,,3.0
26,0.2849211488700705,26,,3.0
27,0.2635011045407626,total,3.0,
