i,average roughness,group,iterations,perturbation
0,0.23029375484276685,0,,9.0
1,0.19615739776312174,1,,9.0
2,0.242252439012583,2,,9.0
3,0.19638117711381342,3,,9.0
4,0.23185332282971438,4,,9.0
5,0.23582490614377302,5,,9.0
6,0.23590888148073422,6,,9.0
7,0.20226706885855264,7,,9.0
8,0.19140423340518026,8,,9.0
9,0.19007708515670577,9,,9.0
10,0.19145905623407053,10,,9.0
11,0.21256010281921045,11,,9.0
12,0.22784513247160318,12,,9.0
13,0.2348176259145824,13,,9.0
14,0.24344865882771186,14,,9.0
15,0.20398360954420133,15,,9.0
16,0.1845211100082802,16,,9.0
17,0.2346644025185226,17,,9.0
18,0.23081007812717516,18,,9.0
19,0.25140113150583243,19,,9.0
20,0.18394322888733147,20,,9.0
21,0.2192304646017216,21,,9.0
22,0.2313828029262643,22,,9.0
23,0.2707062995981489,23,,9.0
24,0.17655017787308602,24,,9.0
25,0.17248160883577615,25,,9.0
26,0.19759825543272008,26,,9.0
27,0.21554903750863644,total,9.0,
