i,average roughness,group,iterations,perturbation
0,0.23182326746080387,0,,5.0
1,0.20731873470798656,1,,5.0
2,0.24887984697757148,2,,5.0
3,0.20261420459729088,3,,5.0
4,0.23682499967536624,4,,5.0
5,0.22839260749769646,5,,5.0
6,0.23734186875123464,6,,5.0
7,0.21009254866557117,7,,5.0
8,0.201035935096172,8,,5.0
9,0.19891403443907033,9,,5.0
10,0.19942165760145553,10,,5.0
11,0.22537024917300547,11,,5.0
12,0.2445489320740453,12,,5.0
13,0.23834095233727998,13,,5.0
14,0.2560202202576781,14,,5.0
15,0.21079990106194613,15,,5.0
16,0.19662022928304726,16,,5.0
17,0.2465596788796512,17,,5.0
18,0.2432234104354859,18,,5.0
19,0.27717236578667265,19,,5.0
20,0.20782706735455078,20,,5.0
21,0.2344168025994848,21,,5.0
22,0.2654053971793924,22,,5.0
23,0.28443709877592327,23,,5.0
24,0.20600926872474457,24,,5.0
25,0.20209223985835256,25,,5.0
26,0.2288151499535254,26,,5.0
27,0.22853032108166682,total,5.0,
