i,average roughness,group,iterations,perturbation
0,0.24168238686620502,0,,15.0
1,0.2040026901908817,1,,15.0
2,0.25139274377984233,2,,15.0
3,0.2048602558753688,3,,15.0
4,0.24312338416223703,4,,15.0
5,0.24749021801923551,5,,15.0
6,0.2453569314133799,6,,15.0
7,0.2076185543870542,7,,15.0
8,0.1974126028464892,8,,15.0
9,0.1962689431849555,9,,15.0
10,0.19837635643510365,10,,15.0
11,0.21635110992479809,11,,15.0
12,0.2264302999097917,12,,15.0
13,0.24418155426301938,13,,15.0
14,0.24517826679534796,14,,15.0
15,0.21163452222918935,15,,15.0
16,0.18800251602783877,16,,15.0
17,0.23496802643371423,17,,15.0
18,0.2356200832505785,18,,15.0
19,0.24861098265587905,19,,15.0
20,0.18333089289910126,20,,15.0
21,0.22073757694216423,21,,15.0
22,0.22695811129228882,22,,15.0
23,0.2752033405185866,23,,15.0
24,0.17411103296123337,24,,15.0
25,0.17275869279471606,25,,15.0
26,0.19386478234512436,26,,15.0
27,0.21983432808904166,total,15.0,
