i,average roughness,group,perturbation
0,0.25444681493242194,0,1.2
1,0.2441846686605876,1,1.2
2,0.28315522730054243,2,1.2
3,0.23811392328044328,3,1.2
4,0.27134147967293504,4,1.2
5,0.2509440678995845,5,1.2
6,0.27713782038594736,6,1.2
7,0.2535027478487932,7,1.2
8,0.24180649258002054,8,1.2
9,0.23192383737807956,9,1.2
10,0.23702224420445211,10,1.2
11,0.26866401770065984,11,1.2
12,0.2917570260279262,12,1.2
13,0.27452182679018244,13,1.2
14,0.2921719722021332,14,1.2
15,0.25487932120491813,15,1.2
16,0.2479792464980207,16,1.2
17,0.30098986233415176,17,1.2
18,0.2941363394865319,18,1.2
19,0.3356491048499308,19,1.2
20,0.2676072474635501,20,1.2
21,0.3112547853199438,21,1.2
22,0.34653052003975576,22,1.2
23,0.3463991344841362,23,1.2
24,0.29309594558731367,24,1.2
25,0.29702298886134004,25,1.2
26,0.32339084084785624,26,1.2
27,0.2788751668089689,total,1.2
