i,average roughness,group,iterations,perturbation
0,0.24643740151339139,0,,20.0
1,0.20813399741331617,1,,20.0
2,0.25539117383417914,2,,20.0
3,0.2068663652529161,3,,20.0
4,0.24701586999278213,4,,20.0
5,0.25101611329861573,5,,20.0
6,0.2498311663919783,6,,20.0
7,0.2090773368998926,7,,20.0
8,0.20003543512306474,8,,20.0
9,0.19898467194310934,9,,20.0
10,0.20188268715637722,10,,20.0
11,0.21759650656094365,11,,20.0
12,0.2274038516569605,12,,20.0
13,0.24912591793113936,13,,20.0
14,0.24762970328399675,14,,20.0
15,0.21618940797660968,15,,20.0
16,0.18918633857864864,16,,20.0
17,0.23512018773352597,17,,20.0
18,0.23845983439643562,18,,20.0
19,0.2481595618269745,19,,20.0
20,0.1845432695116365,20,,20.0
21,0.22156970391814707,21,,20.0
22,0.22774588586047367,22,,20.0
23,0.2790544628685218,23,,20.0
24,0.17538241598048432,24,,20.0
25,0.17231930961624087,25,,20.0
26,0.19400499310338576,26,,20.0
27,0.22215420628236104,total,20.0,
