i,energy group,exterior average coarseness,factor,interior average coarseness,interior coarseness,mode,num interior surfs,ratio,size,total average coarseness
138,1,0.007999999999999997,0.9,0.057630647110541146,"set([3.557690146814513, 0.029559259414049903, 0.02437580964322726, 0.07778304815196549])",dc,4,6,0.39005279541015625,0.01862089452773195
139,2,0.007999999999999997,0.9,0.05192970399214767,"set([0.02152211103880963, 0.07571781484230927, 0.04177121243831382, 0.019746272638246114])",dc,4,6,0.409027099609375,0.018809953581074894
140,0,0.007999999999999997,0.9,0.05853802312126686,"set([0.0152084036315943, 0.797210821955369, 0.03628086525503326, 0.08287762522006388])",dc,4,6,0.6576156616210938,0.02639622673682511
141,1,0.007999999999999997,0.9,0.05916737154318927,"set([0.037101977150462595, 0.08158164484326037, 0.30726691037575893, 0.2555028528794549, 0.01854708416895995])",dc,5,5,0.42716217041015625,0.020008334230120266
142,2,0.007999999999999997,0.9,0.05446351655515961,"set([0.029183127464692826, 0.032116250481253675, 0.071932236931565, 0.08037034687061588, 0.016918354161870836])",dc,5,5,0.4642295837402344,0.02075237800379818
143,0,0.007999999999999993,0.9,0.05931058665911929,"set([0.20549145013190112, 0.0847825969724916, 55.78132094436728, 0.017569320936381187, 0.05081767553660162, 0.016251606226143807, 0.27447573008737225])",dc,7,5,1.0359344482421875,0.028737315183648
144,2,0.072,0.1,0.13094242374969786,"set([0.12385057066357082, 0.13498073764689253, 0.12248869823478517])",dc,3,9,1.5963096618652344,0.08358025829747157
145,0,0.072,0.1,0.13571082703402368,"set([0.13729796843216452, 0.283431219866527, 0.13216893649131495])",dc,3,9,1.962738037109375,0.09070800696310341
146,1,0.072,0.1,0.13447347351433783,"set([0.1366321078840186, 0.12886321346416407])",dc,2,9,1.5128288269042969,0.08227811045352991
147,2,0.072,0.1,0.13432446472680207,"set([0.13241810786882854, 0.14970671824246548, 0.12878612319896926, 0.1366541860088273])",dc,4,8,1.6559181213378906,0.08516220393054537
148,0,0.072,0.1,0.13392660055755748,"set([0.1362816061266511, 1.2385074855020661, 0.3485776741500441, 0.7963220104178788, 3.203019967119867, 0.12865783247282633])",dc,6,8,1.9929962158203125,0.09079923739964033
149,1,0.072,0.1,0.13454983879804563,"set([0.12835983904207776, 0.13714405975520716])",dc,2,8,1.5384635925292969,0.08283390264046533
150,2,0.072,0.1,0.12681508010538364,set([0.12681508010538364]),dc,1,10,1.2299575805664062,0.0751259765371481
151,0,0.072,0.1,0.12671651419014304,set([0.12671651419014304]),dc,1,10,1.3428306579589844,0.0778549157217983
152,1,0.072,0.1,0.1246822225182932,set([0.1246822225182932]),dc,1,10,1.2061653137207031,0.07445159346044827
153,2,0.072,0.1,0.13282760431220667,"set([0.13321489871049969, 0.926690686037683, 0.1361720244392388, 0.15506084529297218, 0.12518193870737546, 0.13586426122177253])",dc,6,7,1.7023391723632812,0.08581125120301082
154,0,0.072,0.1,0.1348963620829995,"set([0.127236579232983, 0.1623196559621136, 0.13292003383156756, 0.13752825251942724, 1.6986102812696506])",dc,5,7,2.1806602478027344,0.09366582203867672
155,1,0.072,0.1,0.13333354236137238,"set([0.7117929129888141, 0.13642906731525056, 0.17864966161799964, 0.12604621348922843])",dc,4,7,1.5654449462890625,0.0832506118682704
156,2,0.072,0.1,0.13161233097569297,"set([0.13725318769062525, 0.12840590922094378, 0.1073880775815513, 0.1219780709799302])",dc,4,6,1.7624626159667969,0.08669452709688179
157,0,0.072,0.1,0.13461466073134068,"set([0.797210821955369, 0.12932412443428756, 0.13247446846332334, 0.1372212251619221])",dc,4,6,2.2723655700683594,0.09478503529317446
