i,average roughness,group,iterations,perturbation
0,0.23173179049622158,0,,10.0
1,0.1968839811323225,1,,10.0
2,0.24337256479415084,2,,10.0
3,0.19799218737551796,3,,10.0
4,0.2334113742625845,4,,10.0
5,0.2383757592448127,5,,10.0
6,0.23747388568781874,6,,10.0
7,0.20346682568897798,7,,10.0
8,0.19245828505937285,8,,10.0
9,0.19119979378745544,9,,10.0
10,0.19246697010499014,10,,10.0
11,0.21330208399553593,11,,10.0
12,0.22735124584182395,12,,10.0
13,0.23611125029110447,13,,10.0
14,0.24339211196394492,14,,10.0
15,0.20515995075984322,15,,10.0
16,0.18514587098950283,16,,10.0
17,0.234942101732662,17,,10.0
18,0.23141697477544107,18,,10.0
19,0.2505638428222193,19,,10.0
20,0.18340071400833274,20,,10.0
21,0.2196489557292795,21,,10.0
22,0.22970078250891382,22,,10.0
23,0.2709406813730135,23,,10.0
24,0.17559354866667531,24,,10.0
25,0.17260459394386138,25,,10.0
26,0.19653532032351628,26,,10.0
27,0.21609790545777388,total,10.0,
