i,average roughness,group,perturbation
0,0.2743964490000161,0,1.5
1,0.2744744802012314,1,1.5
2,0.3088768969608108,2,1.5
3,0.2657883943835245,3,1.5
4,0.29449832651251084,4,1.5
5,0.2804186609145667,5,1.5
6,0.30104918931678837,6,1.5
7,0.28022703177329394,7,1.5
8,0.2756680784210105,8,1.5
9,0.27169373940061325,9,1.5
10,0.2702447096182324,10,1.5
11,0.29808355582986457,11,1.5
12,0.32148781944320803,12,1.5
13,0.30030356115435686,13,1.5
14,0.32715913376900063,14,1.5
15,0.28255713512690556,15,1.5
16,0.2784042572516686,16,1.5
17,0.33201641160737155,17,1.5
18,0.32507866003316677,18,1.5
19,0.372725459241542,19,1.5
20,0.30073272887531105,20,1.5
21,0.3341751250836741,21,1.5
22,0.372222324172358,22,1.5
23,0.3701649132600101,23,1.5
24,0.3307465048064846,24,1.5
25,0.33645194084455626,25,1.5
26,0.3574693514263575,26,1.5
27,0.308782031052905,total,1.5
