i,average roughness,group,perturbation
0,0.24821969084560463,0,1.1
1,0.2376719511961701,1,1.1
2,0.27805231552867193,2,1.1
3,0.2282203874592529,3,1.1
4,0.26213044212685993,4,1.1
5,0.2419009026000111,5,1.1
6,0.26334844653670253,6,1.1
7,0.2461068221055086,7,1.1
8,0.23280173600987505,8,1.1
9,0.22819217565661595,9,1.1
10,0.2319707217197448,10,1.1
11,0.2612091985785697,11,1.1
12,0.2853989552458244,12,1.1
13,0.2661922528936812,13,1.1
14,0.293258275517657,14,1.1
15,0.24213046857557577,15,1.1
16,0.2402264528525715,16,1.1
17,0.2948311840669636,17,1.1
18,0.2801140270454046,18,1.1
19,0.3250912676875624,19,1.1
20,0.25273501276054816,20,1.1
21,0.29281469968416707,21,1.1
22,0.3397681222545456,22,1.1
23,0.32856204938057615,23,1.1
24,0.2803303075553977,24,1.1
25,0.28487734683623195,25,1.1
26,0.3135267540482548,26,1.1
27,0.2696178506210573,total,1.1
