i,average roughness,group,iterations,perturbation
0,0.27488779570512073,0,,2.0
1,0.27493885064416224,1,,2.0
2,0.30952914531362913,2,,2.0
3,0.26652177777341063,3,,2.0
4,0.29530625785380293,4,,2.0
5,0.280914429962666,5,,2.0
6,0.3016735737851039,6,,2.0
7,0.28092133060226765,7,,2.0
8,0.27642674496477815,8,,2.0
9,0.27229077002309604,9,,2.0
10,0.2709988224076531,10,,2.0
11,0.2987800481943975,11,,2.0
12,0.3222637506109011,12,,2.0
13,0.3008786165435292,13,,2.0
14,0.3282759401822654,14,,2.0
15,0.28352103138713247,15,,2.0
16,0.2805701667751543,16,,2.0
17,0.3315618885252462,17,,2.0
18,0.32589579240956956,18,,2.0
19,0.37127766793335193,19,,2.0
20,0.3015825551900632,20,,2.0
21,0.3363833253945149,21,,2.0
22,0.37334605483296524,22,,2.0
23,0.3713519763238144,23,,2.0
24,0.3313854185081948,24,,2.0
25,0.33761897033274463,25,,2.0
26,0.3603307070573768,26,,2.0
27,0.30960864478655237,total,2.0,
