i,average coarseness,dc factor,group,old size
123,0.10186796510916471,0.5,11,0.5020065307617188
124,0.10415086103759365,0.5,12,0.5001068115234375
125,0.10317168310651595,0.5,13,0.48491668701171875
126,0.10335943280700012,0.5,14,0.4768562316894531
127,0.10393218605012636,0.5,15,0.4699974060058594
128,0.10300843018011396,0.5,16,0.4606895446777344
129,0.10605378006651722,0.5,17,0.4597511291503906
130,0.10801086466353975,0.5,18,0.4560737609863281
131,0.1088837540055328,0.5,19,0.44533538818359375
132,0.10705267725585897,0.5,20,0.42804718017578125
133,0.10966894352899413,0.5,21,0.424102783203125
134,0.11189898236165897,0.5,22,0.4202880859375
135,0.11077217920498571,0.5,23,0.3978614807128906
136,0.10856490645862739,0.5,24,0.3715248107910156
137,0.10901844499721997,0.5,25,0.3706855773925781
138,0.10998903975427453,0.5,26,0.36415863037109375
139,0.10370526457135693,0.5,total,13.025215148925781
140,0.07334497500807267,0.6,0,0.5914840698242188
141,0.0780572895043897,0.6,1,0.4874725341796875
142,0.08009089968583243,0.6,2,0.46782684326171875
143,0.07878298723852835,0.6,3,0.4499778747558594
144,0.08031806765123585,0.6,4,0.4370918273925781
145,0.08038480399075959,0.6,5,0.4295082092285156
146,0.0814777904622162,0.6,6,0.43177032470703125
147,0.08111065730377923,0.6,7,0.42063140869140625
148,0.0800587890972005,0.6,8,0.4141387939453125
149,0.08063868112847182,0.6,9,0.416107177734375
150,0.07999363504826919,0.6,10,0.4128303527832031
151,0.08150546891977366,0.6,11,0.414459228515625
152,0.08342801560426626,0.6,12,0.41351318359375
153,0.08247017466484695,0.6,13,0.4008026123046875
154,0.08263890749073811,0.6,14,0.39398193359375
155,0.08338946078223101,0.6,15,0.38941192626953125
156,0.0826337454977383,0.6,16,0.38124847412109375
157,0.08498482855242394,0.6,17,0.3804054260253906
158,0.08651194441888362,0.6,18,0.37758636474609375
159,0.08704455283592688,0.6,19,0.3678016662597656
160,0.08591345975581406,0.6,20,0.35480499267578125
161,0.08800972258696867,0.6,21,0.35143280029296875
162,0.08961776988007746,0.6,22,0.347808837890625
163,0.08853667217252416,0.6,23,0.32891082763671875
164,0.08719713343281192,0.6,24,0.30829620361328125
165,0.08732783201457735,0.6,25,0.3065986633300781
166,0.08800025099719931,0.6,26,0.3007392883300781
167,0.08309142650835397,0.6,total,10.776641845703125
168,0.030907903204205483,0.9,0,0.3013763427734375
169,0.02836047392826615,0.9,1,0.22330474853515625
170,0.031245101294805646,0.9,2,0.2265472412109375
171,0.027555493324002856,0.9,3,0.20164108276367188
172,0.030536886632015932,0.9,4,0.2096405029296875
173,0.030689591872148734,0.9,5,0.20596694946289062
174,0.03127549434926952,0.9,6,0.20784759521484375
175,0.02765455161585692,0.9,7,0.18612289428710938
176,0.02705351370882351,0.9,8,0.18230056762695312
177,0.02702179681364742,0.9,9,0.18169403076171875
178,0.026645572764357923,0.9,10,0.179656982421875
179,0.027380257019357306,0.9,11,0.18166732788085938
180,0.0289665193437927,0.9,12,0.18587112426757812
181,0.03004927764926229,0.9,13,0.18765640258789062
182,0.0303251849954329,0.9,14,0.1845550537109375
183,0.02878985750049812,0.9,15,0.17502593994140625
184,0.026332476351193946,0.9,16,0.16152191162109375
185,0.0279205900869979,0.9,17,0.16563796997070312
186,0.030264610765175552,0.9,18,0.1721649169921875
187,0.030670634107181755,0.9,19,0.16733932495117188
188,0.027429360360083484,0.9,20,0.15186309814453125
189,0.027108785299007954,0.9,21,0.14706039428710938
190,0.027950888834798994,0.9,22,0.14706039428710938
191,0.028934367594846654,0.9,23,0.1440887451171875
192,0.024522532319977336,0.9,24,0.12280654907226562
193,0.02327330466963814,0.9,25,0.1172943115234375
194,0.022533853800782613,0.9,26,0.11181640625
195,0.028199958526126955,0.9,total,4.82952880859375
196,0.1621982930706496,0.1,0,1.1986885070800781
197,0.17539310552148848,0.1,1,1.0046501159667969
198,0.18043044383471776,0.1,2,0.9633560180664062
199,0.17657356430770205,0.1,3,0.9237632751464844
200,0.18056645857852904,0.1,4,0.8948554992675781
201,0.18120506475839612,0.1,5,0.882598876953125
202,0.1835075147292583,0.1,6,0.88629150390625
203,0.18259769639478426,0.1,7,0.8653297424316406
204,0.18000164498084598,0.1,8,0.8512077331542969
205,0.1806718866941642,0.1,9,0.8531761169433594
206,0.17923687134957225,0.1,10,0.8462753295898438
207,0.18344164486267564,0.1,11,0.8528633117675781
208,0.18706202369450978,0.1,12,0.8465766906738281
209,0.18555641866464442,0.1,13,0.8197517395019531
210,0.1860148902652572,0.1,14,0.8075904846191406
211,0.1872318998111763,0.1,15,0.7969169616699219
212,0.18505657491611985,0.1,16,0.7807426452636719
213,0.19096657634693037,0.1,17,0.7795181274414062
214,0.19396482205278223,0.1,18,0.769927978515625
215,0.19597383919559772,0.1,19,0.7548027038574219
216,0.19277288558733355,0.1,20,0.7251167297363281
217,0.19697475221627128,0.1,21,0.7169761657714844
218,0.20091839504586703,0.1,22,0.7099189758300781
219,0.19942878493790642,0.1,23,0.6728057861328125
220,0.19528121882888616,0.1,24,0.6281585693359375
221,0.1963783456645521,0.1,25,0.6287498474121094
222,0.19800992326369243,0.1,26,0.6180267333984375
223,0.18657094591015966,0.1,total,22.078636169433594
224,0.12612359804181547,0.3,0,0.9521636962890625
225,0.13630009173012775,0.3,1,0.7969398498535156
226,0.14026443153220114,0.3,2,0.7649917602539062
227,0.137345983329029,0.3,3,0.7336959838867188
228,0.140444063644371,0.3,4,0.7116546630859375
229,0.14089062271473532,0.3,5,0.7014007568359375
230,0.14271946534382282,0.3,6,0.7045211791992188
231,0.14201981450095796,0.3,7,0.687469482421875
232,0.14000549207636975,0.3,8,0.6763038635253906
233,0.1405320803084012,0.3,9,0.67779541015625
234,0.13938757723764994,0.3,10,0.6722297668457031
235,0.14259991362394783,0.3,11,0.6771965026855469
236,0.14548187564529982,0.3,12,0.6728172302246094
237,0.14432981920639057,0.3,13,0.652191162109375
238,0.14464094738163658,0.3,14,0.6420326232910156
239,0.1456285565073245,0.3,15,0.6336479187011719
240,0.14395769660049879,0.3,16,0.6204299926757812
241,0.14854858654567302,0.3,17,0.6197776794433594
242,0.15084356485119219,0.3,18,0.6124763488769531
243,0.15241644739319513,0.3,19,0.6000213623046875
244,0.1498724361638887,0.3,20,0.5764389038085938
245,0.1532483718037563,0.3,21,0.5703010559082031
246,0.15625162157222455,0.3,22,0.5645790100097656
247,0.15505772808215362,0.3,23,0.5351905822753906
248,0.15187239628475685,0.3,24,0.4996986389160156
249,0.15273013355248333,0.3,25,0.4998130798339844
250,0.15400359961070867,0.3,26,0.4910926818847656
251,0.14509321908461523,0.3,total,17.546871185302734
252,0.18038301192049833,0.0,0,1.1066436767578125
253,0.1950470105948188,0.0,1,0.9327011108398438
254,0.20062873962095257,0.0,2,0.891448974609375
255,0.1964736818357959,0.0,3,0.8583755493164062
256,0.2007204759185044,0.0,4,0.8284835815429688
257,0.2014878322275534,0.0,5,0.817291259765625
258,0.2040099857256564,0.0,6,0.8194808959960938
259,0.2031597790737124,0.0,7,0.8079452514648438
260,0.20021778069569696,0.0,8,0.7927474975585938
261,0.20099175477099368,0.0,9,0.7936782836914062
262,0.19941288152159234,0.0,10,0.7875595092773438
263,0.20404170628021615,0.0,11,0.7930526733398438
264,0.20798981059995114,0.0,12,0.7854690551757812
265,0.20632043002493486,0.0,13,0.7594528198242188
266,0.2068691460324327,0.0,14,0.7484130859375
267,0.20820324508815108,0.0,15,0.7466354370117188
268,0.20586300537865695,0.0,16,0.7276535034179688
269,0.21244110663966712,0.0,17,0.7255630493164062
270,0.21564147166193146,0.0,18,0.7146987915039062
271,0.2179028409924273,0.0,19,0.70074462890625
272,0.21448277587178738,0.0,20,0.6796798706054688
273,0.2191202367645412,0.0,21,0.6689224243164062
274,0.22334049917409618,0.0,22,0.6603775024414062
275,0.22169118326316045,0.0,23,0.624603271484375
276,0.2171303886702065,0.0,24,0.5881576538085938
277,0.2184279178083603,0.0,25,0.5873184204101562
278,0.22009541923773274,0.0,26,0.5753936767578125
279,0.20748496731088995,0.0,total,20.522491455078125
