i,dc factor,edges,group,size,verts
121,0.5,9214,9,0.432525634765625,5602
122,0.5,9138,10,0.42916107177734375,5552
123,0.5,9188,11,0.43164825439453125,5588
124,0.5,9128,12,0.430206298828125,5594
125,0.5,8796,13,0.41754913330078125,5452
126,0.5,8674,14,0.4104194641113281,5369
127,0.5,8554,15,0.4044761657714844,5229
128,0.5,8426,16,0.3961448669433594,5045
129,0.5,8376,17,0.3955879211425781,5067
130,0.5,8272,18,0.3927040100097656,5063
131,0.5,8114,19,0.38317108154296875,4926
132,0.5,7782,20,0.36841583251953125,4668
133,0.5,7716,21,0.3649749755859375,4598
134,0.5,7636,22,0.3617706298828125,4558
135,0.5,7206,23,0.3426246643066406,4333
136,0.5,6738,24,0.3198585510253906,3911
137,0.5,6754,25,0.3188972473144531,3859
138,0.5,6654,26,0.31313323974609375,3798
139,0.5,237618,total,11.205329895019531,145234
140,0.6,10512,0,0.5110244750976562,7194
141,0.6,8698,1,0.4208526611328125,5646
142,0.6,8296,2,0.40427398681640625,5482
143,0.6,8006,3,0.3886375427246094,5149
144,0.6,7692,4,0.3781471252441406,5063
145,0.6,7580,5,0.3714179992675781,4985
146,0.6,7618,6,0.37339019775390625,5028
147,0.6,7458,7,0.36347198486328125,4772
148,0.6,7342,8,0.3578643798828125,4678
149,0.6,7390,9,0.359466552734375,4690
150,0.6,7328,10,0.3566627502441406,4647
151,0.6,7352,11,0.3581085205078125,4670
152,0.6,7312,12,0.3574676513671875,4686
153,0.6,7032,13,0.346893310546875,4570
154,0.6,6936,14,0.3408050537109375,4500
155,0.6,6864,15,0.33678436279296875,4384
156,0.6,6760,16,0.32941436767578125,4212
157,0.6,6712,17,0.3289375305175781,4235
158,0.6,6626,18,0.32677459716796875,4240
159,0.6,6488,19,0.3180427551269531,4113
160,0.6,6246,20,0.30689239501953125,3900
161,0.6,6192,21,0.30393218994140625,3836
162,0.6,6116,22,0.3008880615234375,3798
163,0.6,5760,23,0.28470611572265625,3610
164,0.6,5412,24,0.26674652099609375,3248
165,0.6,5410,25,0.2650642395019531,3187
