i,group,ratio,size,verts
217,21,10,0.6206207275390625,7404
218,22,10,0.6214447021484375,7412
219,23,10,0.5913314819335938,6944
220,24,10,0.5697784423828125,6744
221,25,10,0.5602569580078125,6632
222,26,10,0.547698974609375,6476
223,total,10,19.275619506835938,231360
224,0,7,1.1425704956054688,13972
225,1,7,0.9622344970703125,11740
226,2,7,0.9310073852539062,11288
227,3,7,0.8957366943359375,10892
228,4,7,0.8804855346679688,10624
229,5,7,0.8628463745117188,10428
230,6,7,0.8513870239257812,10300
231,7,7,0.8332290649414062,10088
232,8,7,0.82501220703125,10000
233,9,7,0.8332977294921875,10108
234,10,7,0.8331680297851562,10120
235,11,7,0.8230209350585938,9992
236,12,7,0.8132858276367188,9752
237,13,7,0.8006668090820312,9636
238,14,7,0.7862319946289062,9476
239,15,7,0.7727279663085938,9320
240,16,7,0.7644729614257812,9248
241,17,7,0.7468948364257812,8912
242,18,7,0.7506790161132812,8980
243,19,7,0.7248916625976562,8696
244,20,7,0.7101898193359375,8536
245,21,7,0.6912155151367188,8204
246,22,7,0.6877822875976562,8180
247,23,7,0.6446304321289062,7688
248,24,7,0.6147537231445312,7184
249,25,7,0.6066360473632812,7136
250,26,7,0.5854568481445312,6908
251,total,7,21.37451171875,257408
252,0,20,0.8554458618164062,10356
253,1,20,0.72998046875,8796
254,2,20,0.6948013305664062,8268
255,3,20,0.6853103637695312,8188
256,4,20,0.6828765869140625,8180
257,5,20,0.66387939453125,7952
258,6,20,0.662506103515625,7940
259,7,20,0.65399169921875,7832
260,8,20,0.6412124633789062,7688
261,9,20,0.6462631225585938,7612
262,10,20,0.6353683471679688,7496
263,11,20,0.6286239624023438,7432
264,12,20,0.6208114624023438,7348
265,13,20,0.6274490356445312,7440
266,14,20,0.6064682006835938,7200
267,15,20,0.6161651611328125,7340
268,16,20,0.59356689453125,7060
269,17,20,0.589202880859375,7012
270,18,20,0.5842132568359375,6948
271,19,20,0.5658187866210938,6636
272,20,20,0.5582046508789062,6568
273,21,20,0.5533294677734375,6540
274,22,20,0.54705810546875,6464
275,23,20,0.5244293212890625,6188
276,24,20,0.48749542236328125,5612
277,25,20,0.47510528564453125,5500
278,26,20,0.46378326416015625,5392
279,total,20,16.593360900878906,196988
280,0,6,1.2426376342773438,15240
281,1,6,1.0251083374023438,12444
282,2,6,0.9714889526367188,11840
283,3,6,0.9509963989257812,11528
284,4,6,0.9233169555664062,11220
285,5,6,0.9110641479492188,11068
286,6,6,0.9056472778320312,11032
287,7,6,0.8892898559570312,10740
288,8,6,0.8728561401367188,10540
289,9,6,0.8689193725585938,10504
290,10,6,0.8726425170898438,10556
291,11,6,0.8724288940429688,10552
292,12,6,0.8489913940429688,10272
293,13,6,0.842742919921875,10220
294,14,6,0.8268661499023438,9912
295,15,6,0.8179244995117188,9836
296,16,6,0.8007888793945312,9644
297,17,6,0.7893142700195312,9520
298,18,6,0.7842254638671875,9476
299,19,6,0.7695236206054688,9200
300,20,6,0.7507400512695312,9012
301,21,6,0.7252578735351562,8708
302,22,6,0.7162704467773438,8632
303,23,6,0.6856307983398438,8160
304,24,6,0.6451416015625,7708
305,25,6,0.6366806030273438,7624
306,26,6,0.6045608520507812,7104
307,total,6,22.551055908203125,272292
308,0,12,0.975189208984375,11908
309,1,12,0.8209915161132812,9924
310,2,12,0.7924270629882812,9496
311,3,12,0.7681808471679688,9228
312,4,12,0.7433624267578125,8964
313,5,12,0.743194580078125,8960
314,6,12,0.7277374267578125,8772
315,7,12,0.7204360961914062,8580
316,8,12,0.7181167602539062,8572
317,9,12,0.7143325805664062,8532
318,10,12,0.7079238891601562,8456
319,11,12,0.6990585327148438,8348
320,12,12,0.7000198364257812,8376
321,13,12,0.6890640258789062,8252
322,14,12,0.670196533203125,8036
323,15,12,0.6676025390625,8000
324,16,12,0.6615982055664062,7820
325,17,12,0.6428909301757812,7620
326,18,12,0.6400985717773438,7600
327,19,12,0.6308517456054688,7508
328,20,12,0.61627197265625,7348
329,21,12,0.6018295288085938,7192
330,22,12,0.5961685180664062,6988
331,23,12,0.5679092407226562,6692
332,24,12,0.5490570068359375,6492
333,25,12,0.5384521484375,6360
334,26,12,0.525604248046875,6204
335,total,12,18.428565979003906,220228
336,0,5,1.3735198974609375,16828
337,1,5,1.1118545532226562,13652
338,2,5,1.0551071166992188,12896
339,3,5,1.0198440551757812,12416
340,4,5,0.9985275268554688,12176
341,5,5,0.9724960327148438,11880
342,6,5,0.9625015258789062,11656
343,7,5,0.9429550170898438,11440
344,8,5,0.9438552856445312,11456
345,9,5,0.9417648315429688,11436
346,10,5,0.9437484741210938,11472
347,11,5,0.9352645874023438,11364
348,12,5,0.9245071411132812,11236
349,13,5,0.9168930053710938,11060
350,14,5,0.8762283325195312,10600
351,15,5,0.8667831420898438,10496
352,16,5,0.8662109375,10508
353,17,5,0.8538742065429688,10248
354,18,5,0.8299942016601562,9992
355,19,5,0.8092422485351562,9764
356,20,5,0.7965621948242188,9648
357,21,5,0.7785568237304688,9336
358,22,5,0.7567520141601562,9080
359,23,5,0.7341995239257812,8856
360,24,5,0.6862106323242188,8176
361,25,5,0.6700057983398438,7996
362,26,5,0.645782470703125,7716
363,total,5,24.213241577148438,293384
