i,average roughness,group,iterations,perturbation
0,0.24064794578020005,0,,4.0
1,0.22220597479414828,1,,4.0
2,0.2614887362918026,2,,4.0
3,0.21596921004709177,3,,4.0
4,0.2486992314409567,4,,4.0
5,0.23712141718786034,5,,4.0
6,0.24868398135979009,6,,4.0
7,0.22415038935253123,7,,4.0
8,0.21608755718247405,8,,4.0
9,0.2140015808050205,9,,4.0
10,0.2139165662065299,10,,4.0
11,0.24129288525248344,11,,4.0
12,0.26050101823508304,12,,4.0
13,0.2503051778511255,13,,4.0
14,0.27041228198011763,14,,4.0
15,0.22538358764738609,15,,4.0
16,0.21192720175948923,16,,4.0
17,0.2621151840889567,17,,4.0
18,0.2600054506791503,18,,4.0
19,0.29807440490314097,19,,4.0
20,0.2287415299556079,20,,4.0
21,0.25371101979169475,21,,4.0
22,0.28993100380568976,22,,4.0
23,0.3008122887102224,23,,4.0
24,0.2327359115810071,24,,4.0
25,0.23041836312289082,25,,4.0
26,0.2554163213767195,26,,4.0
27,0.24499097115515447,total,4.0,
